# step a K(partitioned) K(conventional) K(zooming)
0 10.0E-3 24993895.7136 24995582.6939 24995582.6845
1 10.1E-3 25177035.3730 25211484.2954 24792131.2587
2 10.2E-3 25413070.4268 25428571.9253 24589473.8801
3 10.3E-3 25604587.1907 25646865.9000 24387653.3870
4 10.4E-3 25854650.1561 25866386.5327 24186711.8561
5 10.5E-3 26055946.9621 26087154.1488 23986690.5900
6 10.6E-3 26259179.5080 26309189.0842 23787630.1042
7 10.7E-3 26485314.9519 26532511.6968 23589570.1125
8 10.8E-3 26733793.5163 26757142.3748 23392549.5122
9 10.9E-3 26937489.2019 26983101.5472 23196606.3680
10 11.0E-3 27217831.1307 27210409.6817 23001777.8957
11 11.1E-3 27407865.9853 27439087.3010 22808100.4453
12 11.2E-3 27631633.1244 27669154.9861 22615609.4842
13 11.3E-3 27845681.3708 27900633.3815 22424339.5801
14 11.4E-3 28133110.2326 28133543.2137 22234324.3840
15 11.5E-3 28373653.4272 28367905.2765 22045596.6135
16 11.6E-3 28613001.2033 28603740.4626 21858188.0364
17 11.7E-3 28851008.9103 28841069.7497 21672129.4548
18 11.8E-3 29088886.4969 29079914.2195 21487450.6894
19 11.9E-3 29327695.1740 29320295.0632 21304180.5654
20 12.0E-3 29567901.4868 29562233.5797 21122346.8975
21 12.1E-3 29748010.0695 29805751.1897 20941976.4775
22 12.2E-3 29997659.5597 30050869.4426 20763095.0616
23 12.3E-3 30243471.8353 30297610.0172 20585727.3587
24 12.4E-3 30496965.9170 30545994.7305 20409897.0199
25 12.5E-3 30752511.3950 30796045.5463 20235626.6293
26 12.6E-3 31010267.1771 31047784.5724 20062937.6951
27 12.7E-3 31270271.1800 31301234.0790 19891850.6424
28 12.8E-3 31532381.1347 31556416.4915 19722384.8062
29 12.9E-3 31796340.3670 31813354.4176 19554558.4267
30 13.0E-3 32062095.6887 32072070.6080 19388388.6446
31 13.1E-3 32314008.0410 32332588.0176 19223891.4978
32 13.2E-3 32597864.1214 32594929.7687 19061081.9191
33 13.3E-3 32879146.2664 32859119.1715 18899973.7350
34 13.4E-3 33139695.8405 33125179.7272 18740579.6652
35 13.5E-3 33349223.0041 33393135.1341 18582911.3229
36 13.6E-3 33699848.4444 33663009.2691 18426979.2160
37 13.7E-3 33926440.7402 33934826.2177 18272792.7488
38 13.8E-3 34211941.3074 34208610.2485 18120360.2244
39 13.9E-3 34497435.4871 34484385.8299 17969688.8464
40 14.0E-3 34761368.3544 34762177.6048 17820784.7209
